timestamp,value,quality
2026-04-02T22:00:00+0000,79395.0,0
2026-04-02T22:10:00+0000,76733.0,0
2026-04-02T22:20:00+0000,78139.0,0
2026-04-02T22:30:00+0000,78315.0,0
2026-04-02T22:40:00+0000,79154.0,0
2026-04-02T22:50:00+0000,79356.0,0
2026-04-02T23:00:00+0000,80678.0,0
2026-04-02T23:10:00+0000,79937.0,0
2026-04-02T23:20:00+0000,78984.0,0
2026-04-02T23:30:00+0000,78467.0,0
2026-04-02T23:40:00+0000,77455.0,0
2026-04-02T23:50:00+0000,78774.0,0
2026-04-03T00:00:00+0000,79852.0,0
2026-04-03T00:10:00+0000,80377.0,0
2026-04-03T00:20:00+0000,78992.0,0
2026-04-03T00:30:00+0000,78977.0,0
2026-04-03T00:40:00+0000,79788.0,0
2026-04-03T00:50:00+0000,79393.0,0
2026-04-03T01:00:00+0000,82445.0,0
2026-04-03T01:10:00+0000,78195.0,0
2026-04-03T01:20:00+0000,78754.0,0
2026-04-03T01:30:00+0000,78620.0,0
2026-04-03T01:40:00+0000,79458.0,0
2026-04-03T01:50:00+0000,80481.0,0
2026-04-03T02:00:00+0000,80020.0,0
2026-04-03T02:10:00+0000,80392.0,0
2026-04-03T02:20:00+0000,79382.0,0
2026-04-03T02:30:00+0000,80072.0,0
2026-04-03T02:40:00+0000,80783.0,0
2026-04-03T02:50:00+0000,80987.0,0
2026-04-03T03:00:00+0000,89852.0,0
2026-04-03T03:10:00+0000,91431.0,0
2026-04-03T03:20:00+0000,93026.0,0
2026-04-03T03:30:00+0000,88790.0,0
2026-04-03T03:40:00+0000,85402.0,0
2026-04-03T03:50:00+0000,85107.0,0
2026-04-03T04:00:00+0000,91446.0,0
2026-04-03T04:10:00+0000,90050.0,0
2026-04-03T04:20:00+0000,87380.0,0
2026-04-03T04:30:00+0000,89304.0,0
2026-04-03T04:40:00+0000,87431.0,0
2026-04-03T04:50:00+0000,89461.0,0
2026-04-03T05:00:00+0000,90749.0,0
2026-04-03T05:10:00+0000,93968.0,0
2026-04-03T05:20:00+0000,98534.0,0
2026-04-03T05:30:00+0000,100990.0,0
2026-04-03T05:40:00+0000,106540.0,0
2026-04-03T05:50:00+0000,111410.0,0
2026-04-03T06:00:00+0000,120850.0,0
2026-04-03T06:10:00+0000,122850.0,0
2026-04-03T06:20:00+0000,126210.0,0
2026-04-03T06:30:00+0000,124470.0,0
2026-04-03T06:40:00+0000,125750.0,0
2026-04-03T06:50:00+0000,130190.0,0
2026-04-03T07:00:00+0000,131080.0,0
2026-04-03T07:10:00+0000,132660.0,0
2026-04-03T07:20:00+0000,134730.0,0
2026-04-03T07:30:00+0000,140530.0,0
2026-04-03T07:40:00+0000,147520.0,0
2026-04-03T07:50:00+0000,143490.0,0
2026-04-03T08:00:00+0000,148990.0,0
2026-04-03T08:10:00+0000,150220.0,0
2026-04-03T08:20:00+0000,146670.0,0
2026-04-03T08:30:00+0000,144330.0,0
2026-04-03T08:40:00+0000,142180.0,0
2026-04-03T08:50:00+0000,153420.0,0
2026-04-03T09:00:00+0000,149200.0,0
2026-04-03T09:10:00+0000,147640.0,0
2026-04-03T09:20:00+0000,147220.0,0
2026-04-03T09:30:00+0000,149430.0,0
2026-04-03T09:40:00+0000,146840.0,0
2026-04-03T09:50:00+0000,151000.0,0
2026-04-03T10:00:00+0000,141710.0,0
2026-04-03T10:10:00+0000,128090.0,0
2026-04-03T10:20:00+0000,126640.0,0
2026-04-03T10:30:00+0000,125200.0,0
2026-04-03T10:40:00+0000,126660.0,0
2026-04-03T10:50:00+0000,129110.0,0
2026-04-03T11:00:00+0000,137890.0,0
2026-04-03T11:10:00+0000,136970.0,0
2026-04-03T11:20:00+0000,136720.0,0
2026-04-03T11:30:00+0000,139550.0,0
2026-04-03T11:40:00+0000,143140.0,0
2026-04-03T11:50:00+0000,142070.0,0
2026-04-03T12:00:00+0000,143070.0,0
2026-04-03T12:10:00+0000,143250.0,0
2026-04-03T12:20:00+0000,142480.0,0
2026-04-03T12:30:00+0000,138890.0,0
2026-04-03T12:40:00+0000,139330.0,0
2026-04-03T12:50:00+0000,136240.0,0
2026-04-03T13:00:00+0000,135700.0,0
2026-04-03T13:10:00+0000,136680.0,0
2026-04-03T13:20:00+0000,134430.0,0
2026-04-03T13:30:00+0000,135350.0,0
2026-04-03T13:40:00+0000,131190.0,0
2026-04-03T13:50:00+0000,131420.0,0
2026-04-03T14:00:00+0000,128930.0,0
2026-04-03T14:10:00+0000,128640.0,0
2026-04-03T14:20:00+0000,130270.0,0
2026-04-03T14:30:00+0000,128010.0,0
2026-04-03T14:40:00+0000,127240.0,0
2026-04-03T14:50:00+0000,125300.0,0
2026-04-03T15:00:00+0000,121680.0,0
2026-04-03T15:10:00+0000,119330.0,0
2026-04-03T15:20:00+0000,113890.0,0
2026-04-03T15:30:00+0000,111790.0,0
2026-04-03T15:40:00+0000,105450.0,0
2026-04-03T15:50:00+0000,105950.0,0
2026-04-03T16:00:00+0000,106170.0,0
2026-04-03T16:10:00+0000,105040.0,0
2026-04-03T16:20:00+0000,101120.0,0
2026-04-03T16:30:00+0000,97313.0,0
2026-04-03T16:40:00+0000,96912.0,0
2026-04-03T16:50:00+0000,97740.0,0
2026-04-03T17:00:00+0000,97958.0,0
2026-04-03T17:10:00+0000,97913.0,0
2026-04-03T17:20:00+0000,94558.0,0
2026-04-03T17:30:00+0000,97794.0,0
2026-04-03T17:40:00+0000,93163.0,0
2026-04-03T17:50:00+0000,94165.0,0
2026-04-03T18:00:00+0000,90748.0,0
2026-04-03T18:10:00+0000,89684.0,0
2026-04-03T18:20:00+0000,90116.0,0
2026-04-03T18:30:00+0000,90347.0,0
2026-04-03T18:40:00+0000,89670.0,0
2026-04-03T18:50:00+0000,90179.0,0
2026-04-03T19:00:00+0000,82768.0,0
2026-04-03T19:10:00+0000,82099.0,0
2026-04-03T19:20:00+0000,80912.0,0
2026-04-03T19:30:00+0000,83098.0,0
2026-04-03T19:40:00+0000,81095.0,0
2026-04-03T19:50:00+0000,83554.0,0
2026-04-03T20:00:00+0000,81387.0,0
2026-04-03T20:10:00+0000,81871.0,0
2026-04-03T20:20:00+0000,81870.0,0
2026-04-03T20:30:00+0000,80166.0,0
2026-04-03T20:40:00+0000,82645.0,0
2026-04-03T20:50:00+0000,82568.0,0
2026-04-03T21:00:00+0000,81323.0,0
2026-04-03T21:10:00+0000,80749.0,0
