# strategy=L6_MULTI_DAY_ENSEMBLE confidence=0.72 gap_size=288
# postproc.norm mode=norm_one_sided_before std_ratio=1.01 mean_ratio=1.60 scale=1.763
# postproc.align mode=align_capped cap=11697 start_offset_raw=63076 applied=11697 end_offset_raw=103283 applied=11697 slope_weight=0.00
timestamp,ground_truth,imputed,quality,abs_error
2026-04-07T04:00:00+0000,86442.0,29634.68983320871,3,56807.310166791285
2026-04-07T04:10:00+0000,87469.0,31118.574969142916,3,56350.425030857084
2026-04-07T04:20:00+0000,89396.0,32751.053932488187,3,56644.94606751182
2026-04-07T04:30:00+0000,90638.0,34532.126723244524,3,56105.873276755476
2026-04-07T04:40:00+0000,91421.0,36461.79334141192,3,54959.20665858808
2026-04-07T04:50:00+0000,90975.0,38540.05378699046,3,52434.94621300954
2026-04-07T05:00:00+0000,92533.0,41044.721329693326,3,51488.278670306674
2026-04-07T05:10:00+0000,91699.0,43814.54719255594,3,47884.45280744406
2026-04-07T05:20:00+0000,94460.0,46455.05976589982,3,48004.94023410018
2026-04-07T05:30:00+0000,93745.0,49026.30408294932,3,44718.69591705068
2026-04-07T05:40:00+0000,98717.0,51077.52833227662,3,47639.47166772338
2026-04-07T05:50:00+0000,104820.0,52374.62890410269,3,52445.37109589731
2026-04-07T06:00:00+0000,108880.0,53364.8672448103,3,55515.1327551897
2026-04-07T06:10:00+0000,115690.0,54026.316652584705,3,61663.683347415295
2026-04-07T06:20:00+0000,112190.0,54649.7859109344,3,57540.2140890656
2026-04-07T06:30:00+0000,118580.0,55371.0500490976,3,63208.9499509024
2026-04-07T06:40:00+0000,112950.0,56067.299059133016,3,56882.700940866984
2026-04-07T06:50:00+0000,115680.0,57398.300966537354,3,58281.699033462646
2026-04-07T07:00:00+0000,119990.0,59004.475640497636,3,60985.524359502364
2026-04-07T07:10:00+0000,125180.0,61887.441928141794,3,63292.558071858206
2026-04-07T07:20:00+0000,128080.0,65521.96938255802,3,62558.03061744198
2026-04-07T07:30:00+0000,127140.0,69918.09558468845,3,57221.904415311554
2026-04-07T07:40:00+0000,130050.0,74534.56507623634,3,55515.43492376366
2026-04-07T07:50:00+0000,133790.0,78982.50554024521,3,54807.49445975479
2026-04-07T08:00:00+0000,142830.0,83219.28053109131,3,59610.71946890869
2026-04-07T08:10:00+0000,142240.0,87138.69543022473,3,55101.30456977527
2026-04-07T08:20:00+0000,139730.0,90761.86549375937,3,48968.13450624063
2026-04-07T08:30:00+0000,140240.0,94027.77127250136,3,46212.228727498645
2026-04-07T08:40:00+0000,134540.0,96542.3289802808,3,37997.6710197192
2026-04-07T08:50:00+0000,146330.0,99922.4470368338,3,46407.55296316621
2026-04-07T09:00:00+0000,142970.0,103423.78626610403,3,39546.21373389597
2026-04-07T09:10:00+0000,144300.0,106746.81751684024,3,37553.18248315976
2026-04-07T09:20:00+0000,142670.0,109587.78299495438,3,33082.21700504562
2026-04-07T09:30:00+0000,148070.0,111759.50520544959,3,36310.49479455041
2026-04-07T09:40:00+0000,139590.0,112837.71862520016,3,26752.281374799844
2026-04-07T09:50:00+0000,147950.0,113632.40657830975,3,34317.59342169025
2026-04-07T10:00:00+0000,142390.0,113878.7818824886,3,28511.218117511395
2026-04-07T10:10:00+0000,136430.0,113706.52827342224,3,22723.471726577758
2026-04-07T10:20:00+0000,130150.0,112848.32669439999,3,17301.67330560001
2026-04-07T10:30:00+0000,131620.0,112736.84934384152,3,18883.150656158483
2026-04-07T10:40:00+0000,129150.0,112307.44879807925,3,16842.551201920753
2026-04-07T10:50:00+0000,129160.0,111848.56815895492,3,17311.43184104508
2026-04-07T11:00:00+0000,130990.0,111304.59390362777,3,19685.40609637223
2026-04-07T11:10:00+0000,131120.0,110884.89015718384,3,20235.109842816164
2026-04-07T11:20:00+0000,134190.0,110064.26476288834,3,24125.735237111658
2026-04-07T11:30:00+0000,136540.0,109727.10862968197,3,26812.89137031803
2026-04-07T11:40:00+0000,137840.0,108995.68150768036,3,28844.31849231964
2026-04-07T11:50:00+0000,142410.0,107822.49068124553,3,34587.50931875447
2026-04-07T12:00:00+0000,142920.0,106420.28845228531,3,36499.71154771469
2026-04-07T12:10:00+0000,141350.0,105290.70197779889,3,36059.29802220111
2026-04-07T12:20:00+0000,142030.0,103598.14281313732,3,38431.857186862675
2026-04-07T12:30:00+0000,141430.0,102253.66502114292,3,39176.33497885708
2026-04-07T12:40:00+0000,142500.0,101082.47642457212,3,41417.523575427884
2026-04-07T12:50:00+0000,141490.0,100278.45957834083,3,41211.54042165917
2026-04-07T13:00:00+0000,140790.0,99112.26395836966,3,41677.73604163034
2026-04-07T13:10:00+0000,143610.0,98300.16843363504,3,45309.831566364956
2026-04-07T13:20:00+0000,140250.0,97890.372756899,3,42359.627243101
2026-04-07T13:30:00+0000,136190.0,97704.19435330082,3,38485.805646699184
2026-04-07T13:40:00+0000,137620.0,98001.69361424336,3,39618.306385756645
2026-04-07T13:50:00+0000,137680.0,98677.89015788102,3,39002.10984211898
2026-04-07T14:00:00+0000,137730.0,99420.3772169046,3,38309.6227830954
2026-04-07T14:10:00+0000,136410.0,100836.48544052242,3,35573.51455947758
2026-04-07T14:20:00+0000,137850.0,102579.67587261109,3,35270.324127388914
2026-04-07T14:30:00+0000,132570.0,103962.16533028492,3,28607.834669715085
2026-04-07T14:40:00+0000,131300.0,104423.72969900699,3,26876.270300993012
2026-04-07T14:50:00+0000,131680.0,104433.59184151789,3,27246.40815848211
2026-04-07T15:00:00+0000,129330.0,104366.67094251733,3,24963.329057482668
2026-04-07T15:10:00+0000,127290.0,104123.68454068663,3,23166.315459313366
2026-04-07T15:20:00+0000,121750.0,103650.32335735047,3,18099.67664264953
2026-04-07T15:30:00+0000,119800.0,103165.80000171093,3,16634.19999828907
2026-04-07T15:40:00+0000,115110.0,102670.19590208333,3,12439.804097916669
2026-04-07T15:50:00+0000,113770.0,102484.04722798831,3,11285.95277201169
2026-04-07T16:00:00+0000,114100.0,102262.46733562648,3,11837.532664373517
2026-04-07T16:10:00+0000,111830.0,102098.069473085,3,9731.930526915006
2026-04-07T16:20:00+0000,108980.0,101956.33452528066,3,7023.665474719339
2026-04-07T16:30:00+0000,106420.0,101600.51124226338,3,4819.488757736617
2026-04-07T16:40:00+0000,104320.0,100879.58322258134,3,3440.4167774186644
2026-04-07T16:50:00+0000,105240.0,100003.91397764078,3,5236.086022359217
2026-04-07T17:00:00+0000,108030.0,98799.45260521636,3,9230.547394783644
2026-04-07T17:10:00+0000,105110.0,97499.1620414443,3,7610.837958555698
