# strategy=MULTI_WEEK_TEMPLATE confidence=0.91 gap_size=76
# strategy=MULTI_WEEK_TEMPLATE confidence=0.91 gap_size=68
timestamp,ground_truth,imputed,quality,abs_error
2026-04-11T22:00:00+0000,80640.0,64828.59642388572,3,15811.40357611428
2026-04-11T22:10:00+0000,77082.0,64828.59642388572,3,12253.40357611428
2026-04-11T22:20:00+0000,77409.0,64828.59642388572,3,12580.40357611428
2026-04-11T22:30:00+0000,79227.0,64828.59642388572,3,14398.40357611428
2026-04-11T22:40:00+0000,77921.0,64828.59642388572,3,13092.40357611428
2026-04-11T22:50:00+0000,78493.0,64828.59642388572,3,13664.40357611428
2026-04-11T23:00:00+0000,78042.0,55072.36275799389,3,22969.63724200611
2026-04-11T23:10:00+0000,77375.0,55072.36275799389,3,22302.63724200611
2026-04-11T23:20:00+0000,78044.0,55072.36275799389,3,22971.63724200611
2026-04-11T23:30:00+0000,78092.0,55072.36275799389,3,23019.63724200611
2026-04-11T23:40:00+0000,78239.0,55072.36275799389,3,23166.63724200611
2026-04-11T23:50:00+0000,77458.0,55072.36275799389,3,22385.63724200611
2026-04-12T00:00:00+0000,76253.0,52488.59292023131,3,23764.407079768687
2026-04-12T00:10:00+0000,77875.0,52488.59292023131,3,25386.407079768687
2026-04-12T00:20:00+0000,76507.0,52488.59292023131,3,24018.407079768687
2026-04-12T00:30:00+0000,77090.0,52488.59292023131,3,24601.407079768687
2026-04-12T00:40:00+0000,76711.0,52488.59292023131,3,24222.407079768687
2026-04-12T00:50:00+0000,77119.0,52488.59292023131,3,24630.407079768687
2026-04-12T01:00:00+0000,80440.0,46415.79081979664,3,34024.20918020336
2026-04-12T01:10:00+0000,79551.0,46415.79081979664,3,33135.20918020336
2026-04-12T01:20:00+0000,78291.0,46415.79081979664,3,31875.20918020336
2026-04-12T01:30:00+0000,79205.0,46415.79081979664,3,32789.20918020336
2026-04-12T01:40:00+0000,77514.0,46415.79081979664,3,31098.20918020336
2026-04-12T01:50:00+0000,79508.0,46415.79081979664,3,33092.20918020336
2026-04-12T02:00:00+0000,78517.0,45386.60162924832,3,33130.39837075168
2026-04-12T02:10:00+0000,77363.0,45386.60162924832,3,31976.39837075168
2026-04-12T02:20:00+0000,79009.0,45386.60162924832,3,33622.39837075168
2026-04-12T02:30:00+0000,79526.0,45386.60162924832,3,34139.39837075168
2026-04-12T02:40:00+0000,79617.0,45386.60162924832,3,34230.39837075168
2026-04-12T02:50:00+0000,77905.0,45386.60162924832,3,32518.39837075168
2026-04-12T03:00:00+0000,81173.0,46177.032319045415,3,34995.967680954585
2026-04-12T03:10:00+0000,78311.0,46177.032319045415,3,32133.967680954585
2026-04-12T03:20:00+0000,79747.0,46177.032319045415,3,33569.967680954585
2026-04-12T03:30:00+0000,78228.0,46177.032319045415,3,32050.967680954585
2026-04-12T03:40:00+0000,76396.0,46177.032319045415,3,30218.967680954585
2026-04-12T03:50:00+0000,78121.0,46177.032319045415,3,31943.967680954585
2026-04-12T04:00:00+0000,77613.0,45693.21017368112,3,31919.789826318884
2026-04-12T04:10:00+0000,77558.0,45693.21017368112,3,31864.789826318884
2026-04-12T04:20:00+0000,80729.0,45693.21017368112,3,35035.78982631888
2026-04-12T04:30:00+0000,79863.0,45693.21017368112,3,34169.78982631888
2026-04-12T04:40:00+0000,80154.0,45693.21017368112,3,34460.78982631888
2026-04-12T04:50:00+0000,77665.0,45693.21017368112,3,31971.789826318884
2026-04-12T05:00:00+0000,78543.0,46060.24766326782,3,32482.752336732177
2026-04-12T05:10:00+0000,78721.0,46060.24766326782,3,32660.752336732177
2026-04-12T05:20:00+0000,78825.0,46060.24766326782,3,32764.752336732177
2026-04-12T05:30:00+0000,80383.0,46060.24766326782,3,34322.75233673218
2026-04-12T05:40:00+0000,78867.0,46060.24766326782,3,32806.75233673218
2026-04-12T05:50:00+0000,79645.0,46060.24766326782,3,33584.75233673218
2026-04-12T06:00:00+0000,79425.0,46276.9102616359,3,33148.0897383641
2026-04-12T06:10:00+0000,79460.0,46276.9102616359,3,33183.0897383641
